queue_id,dataset_id,sha256,source_service,expected_size_bytes,expected_sha256,status,failure_reason
C01M1-DL-0048,DC-C01-S01-M1,0f13ee3c7cabe5c1ec33b0d7215e8b3f0f436d8485ba69722f46b91a6e541503,androzoo,,0f13ee3c7cabe5c1ec33b0d7215e8b3f0f436d8485ba69722f46b91a6e541503,downloaded,
C01M1-DL-0049,DC-C01-S01-M1,01e1fe9ba4a822eaca97c06c3dc1bacd331d85539da35962c6777390d6434c94,androzoo,,01e1fe9ba4a822eaca97c06c3dc1bacd331d85539da35962c6777390d6434c94,downloaded,
C01M1-DL-0050,DC-C01-S01-M1,a636e3f61c3ec74bd7febb531fc5c83c6acc14244d2c3a5591e7570e4c9a0abf,androzoo,,a636e3f61c3ec74bd7febb531fc5c83c6acc14244d2c3a5591e7570e4c9a0abf,downloaded,
C01M1-DL-0051,DC-C01-S01-M1,01e3466d2b9899f61c2461fabc544e32bbab1cbfcf4ebc978156941df684aded,androzoo,,01e3466d2b9899f61c2461fabc544e32bbab1cbfcf4ebc978156941df684aded,pending,
C01M1-DL-0052,DC-C01-S01-M1,16090c8b32a027397379aa84543f26a5e73cb333ed1ab5a019ab2ce5c9441fb5,androzoo,,16090c8b32a027397379aa84543f26a5e73cb333ed1ab5a019ab2ce5c9441fb5,pending,
C01M1-DL-0053,DC-C01-S01-M1,01eb9435af552beefa6745cd8705de514ba8057a5c18b1e6d0659c1485745b5a,androzoo,,01eb9435af552beefa6745cd8705de514ba8057a5c18b1e6d0659c1485745b5a,pending,
C01M1-DL-0054,DC-C01-S01-M1,45510f6ace3a15feb2cd4f28988080a7995052d922d781e967c0ae1b2a7090fd,androzoo,,45510f6ace3a15feb2cd4f28988080a7995052d922d781e967c0ae1b2a7090fd,pending,
C01M1-DL-0055,DC-C01-S01-M1,021a22ca72bf54c2c9c2f8486541aa5ed3884415d31f6c2ea828129a88e5a8c3,androzoo,,021a22ca72bf54c2c9c2f8486541aa5ed3884415d31f6c2ea828129a88e5a8c3,pending,
C01M1-DL-0056,DC-C01-S01-M1,507838eb98f6ec500717064aff02dece3904bb9b59b2ede62c4b4f7594efe3b9,androzoo,,507838eb98f6ec500717064aff02dece3904bb9b59b2ede62c4b4f7594efe3b9,pending,
C01M1-DL-0057,DC-C01-S01-M1,0266db888cebae8f981f853d24c6177c53e7d462960d944c2417c4b56752d84c,androzoo,,0266db888cebae8f981f853d24c6177c53e7d462960d944c2417c4b56752d84c,pending,
C01M1-DL-0058,DC-C01-S01-M1,0feda66169c58afb86fba2a22e4812c9537110e8fc3c80ad29581418049906b4,androzoo,,0feda66169c58afb86fba2a22e4812c9537110e8fc3c80ad29581418049906b4,pending,
C01M1-DL-0059,DC-C01-S01-M1,02674bf1fe4e23f9674fee8c4f673c2e0ef25a544c47f532f9b9bcd8ec489d5f,androzoo,,02674bf1fe4e23f9674fee8c4f673c2e0ef25a544c47f532f9b9bcd8ec489d5f,pending,
C01M1-DL-0060,DC-C01-S01-M1,42a5bc41751d06974a507df71c8365cbe421478b3735a4e8c5bc54c8b4da3cbc,androzoo,,42a5bc41751d06974a507df71c8365cbe421478b3735a4e8c5bc54c8b4da3cbc,pending,
